,Name,Code
549,SOBRAL,A306
550,SOLEDADE,A837
551,SONORA,A761
552,SOROCABA,A713
553,SORRISO,A904
554,SOURE,A227
555,SURUBIM,A328
556,Santa Vitoria do Palmar - Barra do Chui,A899
557,TANGARA DA SERRA,A902
558,TAUA,A324
559,TAUBATE,A728
560,TEOFILO OTONI,A527
561,TERESINA,A312
562,TERESOPOLIS-PARQUE NACIONAL,A618
563,TEUTONIA,A882
564,TIANGUA,A368
565,TIMOTEO,A511
566,TOME ACU,A213
567,TORRES,A808
568,TRAMANDAI,A834
569,TRES LAGOAS,A704
570,TRES MARIAS,A528
571,TRES RIOS,A625
572,TUCUMA,A234
573,TUCURUI,A229
574,TUPA,A768
575,TUPANCIRETA,A886
576,TURIACU,A219
577,UAUA,A435
578,UBERABA,A568
579,UBERLANDIA,A507
580,ULIANOPOLIS,S111
581,UNA,A437
582,UNAI,A542
583,URUCARA,A124
584,URUCUI,A346
585,URUGUAIANA,A809
586,URUSSANGA,A814
587,VACARIA,A880
588,VALENCA,A611
589,VALENCA,A444
590,VALENCA DO PIAUI,A363
591,VALPARAISO,A734
592,VARGINHA,A515
593,VENDA NOVA DO IMIGRANTE,A633
594,VENTANIA,A872
595,VICOSA,A510
596,VILA BELA DA SANTISSIMA TRINDADE,A922
597,VILA VELHA,A634
598,VILHENA,A938
599,VITORIA,A612
600,VITORIA DA CONQUISTA,A414
601,VOTUPORANGA,A729
602,XANXERE,A858
603,XINGUARA,A247
604,ZE DOCA,A255
