,geometry
373091,POINT (-48.14999389648438 -22.85000038146973)
373092,POINT (-48.04998779296875 -22.85000038146973)
373093,POINT (-47.94998168945312 -22.85000038146973)
373094,POINT (-47.85000610351562 -22.85000038146973)
373095,POINT (-47.75 -22.85000038146973)
373096,POINT (-47.64999389648438 -22.85000038146973)
373097,POINT (-47.54998779296875 -22.85000038146973)
373098,POINT (-47.44998168945312 -22.85000038146973)
373099,POINT (-47.35000610351562 -22.85000038146973)
373100,POINT (-47.25 -22.85000038146973)
373101,POINT (-47.14999389648438 -22.85000038146973)
373102,POINT (-47.04998779296875 -22.85000038146973)
373103,POINT (-46.94998168945312 -22.85000038146973)
373104,POINT (-46.85000610351562 -22.85000038146973)
373105,POINT (-46.75 -22.85000038146973)
373106,POINT (-46.64999389648438 -22.85000038146973)
373107,POINT (-46.54998779296875 -22.85000038146973)
373108,POINT (-46.44998168945312 -22.85000038146973)
373109,POINT (-46.35000610351562 -22.85000038146973)
373110,POINT (-46.25 -22.85000038146973)
373111,POINT (-46.14999389648438 -22.85000038146973)
373112,POINT (-46.04998779296875 -22.85000038146973)
373113,POINT (-45.94998168945312 -22.85000038146973)
374086,POINT (-48.75 -22.75)
374087,POINT (-48.64999389648438 -22.75)
374088,POINT (-48.54998779296875 -22.75)
374089,POINT (-48.44998168945312 -22.75)
374090,POINT (-48.35000610351562 -22.75)
374091,POINT (-48.25 -22.75)
374092,POINT (-48.14999389648438 -22.75)
374093,POINT (-48.04998779296875 -22.75)
374094,POINT (-47.94998168945312 -22.75)
374095,POINT (-47.85000610351562 -22.75)
374096,POINT (-47.75 -22.75)
374097,POINT (-47.64999389648438 -22.75)
374098,POINT (-47.54998779296875 -22.75)
374099,POINT (-47.44998168945312 -22.75)
374100,POINT (-47.35000610351562 -22.75)
374101,POINT (-47.25 -22.75)
374102,POINT (-47.14999389648438 -22.75)
374103,POINT (-47.04998779296875 -22.75)
374104,POINT (-46.94998168945312 -22.75)
374105,POINT (-46.85000610351562 -22.75)
374106,POINT (-46.75 -22.75)
374107,POINT (-46.64999389648438 -22.75)
374108,POINT (-46.54998779296875 -22.75)
374109,POINT (-46.44998168945312 -22.75)
374110,POINT (-46.35000610351562 -22.75)
374111,POINT (-46.25 -22.75)
374112,POINT (-46.14999389648438 -22.75)
374113,POINT (-46.04998779296875 -22.75)
374114,POINT (-45.94998168945312 -22.75)
375086,POINT (-48.85000610351562 -22.64999961853027)
375087,POINT (-48.75 -22.64999961853027)
375088,POINT (-48.64999389648438 -22.64999961853027)
375089,POINT (-48.54998779296875 -22.64999961853027)
375090,POINT (-48.44998168945312 -22.64999961853027)
375091,POINT (-48.35000610351562 -22.64999961853027)
375092,POINT (-48.25 -22.64999961853027)
375093,POINT (-48.14999389648438 -22.64999961853027)
375094,POINT (-48.04998779296875 -22.64999961853027)
375095,POINT (-47.94998168945312 -22.64999961853027)
375096,POINT (-47.85000610351562 -22.64999961853027)
375097,POINT (-47.75 -22.64999961853027)
375098,POINT (-47.64999389648438 -22.64999961853027)
375099,POINT (-47.54998779296875 -22.64999961853027)
375100,POINT (-47.44998168945312 -22.64999961853027)
375101,POINT (-47.35000610351562 -22.64999961853027)
375102,POINT (-47.25 -22.64999961853027)
375103,POINT (-47.14999389648438 -22.64999961853027)
375104,POINT (-47.04998779296875 -22.64999961853027)
375105,POINT (-46.94998168945312 -22.64999961853027)
375106,POINT (-46.85000610351562 -22.64999961853027)
375107,POINT (-46.75 -22.64999961853027)
375113,POINT (-46.14999389648438 -22.64999961853027)
376086,POINT (-48.94998168945312 -22.54999923706055)
376087,POINT (-48.85000610351562 -22.54999923706055)
376088,POINT (-48.75 -22.54999923706055)
376089,POINT (-48.64999389648438 -22.54999923706055)
376090,POINT (-48.54998779296875 -22.54999923706055)
376091,POINT (-48.44998168945312 -22.54999923706055)
376092,POINT (-48.35000610351562 -22.54999923706055)
376093,POINT (-48.25 -22.54999923706055)
376094,POINT (-48.14999389648438 -22.54999923706055)
376095,POINT (-48.04998779296875 -22.54999923706055)
376096,POINT (-47.94998168945312 -22.54999923706055)
376097,POINT (-47.85000610351562 -22.54999923706055)
376098,POINT (-47.75 -22.54999923706055)
376099,POINT (-47.64999389648438 -22.54999923706055)
376100,POINT (-47.54998779296875 -22.54999923706055)
376101,POINT (-47.44998168945312 -22.54999923706055)
376102,POINT (-47.35000610351562 -22.54999923706055)
376103,POINT (-47.25 -22.54999923706055)
376104,POINT (-47.14999389648438 -22.54999923706055)
376105,POINT (-47.04998779296875 -22.54999923706055)
376106,POINT (-46.94998168945312 -22.54999923706055)
377086,POINT (-49.04998779296875 -22.45000076293945)
377087,POINT (-48.94998168945312 -22.45000076293945)
377088,POINT (-48.85000610351562 -22.45000076293945)
377089,POINT (-48.75 -22.45000076293945)
377090,POINT (-48.64999389648438 -22.45000076293945)
377091,POINT (-48.54998779296875 -22.45000076293945)
377092,POINT (-48.44998168945312 -22.45000076293945)
377093,POINT (-48.35000610351562 -22.45000076293945)
377094,POINT (-48.25 -22.45000076293945)
377095,POINT (-48.14999389648438 -22.45000076293945)
377096,POINT (-48.04998779296875 -22.45000076293945)
377097,POINT (-47.94998168945312 -22.45000076293945)
377098,POINT (-47.85000610351562 -22.45000076293945)
377099,POINT (-47.75 -22.45000076293945)
377100,POINT (-47.64999389648438 -22.45000076293945)
377101,POINT (-47.54998779296875 -22.45000076293945)
377102,POINT (-47.44998168945312 -22.45000076293945)
377103,POINT (-47.35000610351562 -22.45000076293945)
378085,POINT (-49.25 -22.35000038146973)
378086,POINT (-49.14999389648438 -22.35000038146973)
378087,POINT (-49.04998779296875 -22.35000038146973)
378088,POINT (-48.94998168945312 -22.35000038146973)
378089,POINT (-48.85000610351562 -22.35000038146973)
378090,POINT (-48.75 -22.35000038146973)
378091,POINT (-48.64999389648438 -22.35000038146973)
378092,POINT (-48.54998779296875 -22.35000038146973)
378093,POINT (-48.44998168945312 -22.35000038146973)
378094,POINT (-48.35000610351562 -22.35000038146973)
378095,POINT (-48.25 -22.35000038146973)
378096,POINT (-48.14999389648438 -22.35000038146973)
378097,POINT (-48.04998779296875 -22.35000038146973)
378098,POINT (-47.94998168945312 -22.35000038146973)
378099,POINT (-47.85000610351562 -22.35000038146973)
378100,POINT (-47.75 -22.35000038146973)
378101,POINT (-47.64999389648438 -22.35000038146973)
378102,POINT (-47.54998779296875 -22.35000038146973)
379084,POINT (-49.44998168945312 -22.25)
379085,POINT (-49.35000610351562 -22.25)
379086,POINT (-49.25 -22.25)
379087,POINT (-49.14999389648438 -22.25)
379088,POINT (-49.04998779296875 -22.25)
379089,POINT (-48.94998168945312 -22.25)
379090,POINT (-48.85000610351562 -22.25)
379091,POINT (-48.75 -22.25)
379092,POINT (-48.64999389648438 -22.25)
379093,POINT (-48.54998779296875 -22.25)
379094,POINT (-48.44998168945312 -22.25)
